Display Name,Status,2021 NET Rank,2022 NET Rank,2023 NET Rank,2024 NET Rank,2025 NET Rank,Average 5 Year NET
Houston,Power 5,2.0,1.0,2,2,15,4.4
Gonzaga,Mid-Major Avoid,1.0,8.0,14,7,4,6.8
Tennessee,Power 5,7.0,5.0,5,5,24,9.2
Alabama,Power 5,32.0,2.0,10,6,13,12.6
Purdue,Power 5,12.0,6.0,3,16,7,8.8
Kansas,Power 5,3.0,9.0,21,19,16,13.6
Baylor,Power 5,5.0,17.0,16,31,41,22.0
Arizona,Power 5,4.0,10.0,4,10,2,6.0
Illinois,Power 5,15.0,36.0,12,17,10,18.0
Duke,Power 5,10.0,16.0,9,1,5,8.2
UConn,Power 5,18.0,3.0,1,30,8,12.0
Texas,Power 5,16.0,7.0,28,40,56,29.4
Auburn,Power 5,13.0,35.0,7,3,34,18.4
Texas Tech,Power 5,8.0,62.0,34,8,20,26.4
Kentucky,Power 5,9.0,26.0,20,15,27,19.4
Saint Mary's (CA),Mid-Major Avoid,19.0,11.0,17,23,21,18.2
San Diego St.,Mid-Major Avoid,30.0,15.0,18,58,73,38.8
Creighton,Power 5,51.0,14.0,11,37,49,32.4
North Carolina,Power 5,17.0,44.0,8,32,18,23.8
Wisconsin,Power 5,25.0,72.0,19,14,64,38.8
Michigan St.,Power 5,38.0,33.0,22,9,17,23.8
Ohio St.,Power 5,23.0,49.0,52,39,46,41.8
Boise St.,Mid-Major Avoid,34.0,34.0,31,44,43,37.2
Iowa,Power 5,14.0,38.0,61,60,12,37.0
Florida,Power 5,61.0,73.0,30,4,23,38.2
Marquette,Power 5,50.0,12.0,13,29,176,56.0
Utah St.,Mid-Major Avoid,65.0,23.0,43,43,19,38.6
UCLA,Power 5,11.0,4.0,106,21,42,36.8
BYU,Power 5,59.0,84.0,15,26,9,38.6
Villanova,Power 5,6.0,71.0,42,56,25,40.0
Arkansas,Power 5,21.0,20.0,115,35,30,44.2
Memphis,Mid-Major Avoid,31.0,22.0,75,51,108,57.4
Oklahoma,Power 5,39.0,70.0,45,46,52,50.4
Xavier,Power 5,37.0,18.0,64,45,116,56.0
Clemson,Power 5,81.0,67.0,23,25,38,46.8
Oregon,Power 5,76.0,45.0,54,27,87,57.8
Maryland,Power 5,90.0,32.0,77,11,159,73.8
VCU,Mid-Major Avoid,57.0,54.0,70,33,55,53.8
Mississippi St.,Power 5,60.0,53.0,36,34,109,58.4
Michigan,Power 5,27.0,57.0,130,18,1,46.6
Southern California,Power 5,40.0,55.0,87,65,40,57.4
Colorado,Power 5,74.0,76.0,25,87,83,69.0
Colorado St.,Mid-Major Avoid,35.0,115.0,33,42,86,62.2
Texas A&M,Power 5,36.0,28.0,37,20,65,37.2
St. John's (NY),Power 5,64.0,91.0,29,13,26,44.6
Indiana,Power 5,44.0,31.0,96,52,33,51.2
Drake,Mid-Major Avoid,85.0,59.0,49,55,165,82.6
Virginia,Power 5,68.0,29.0,55,110,31,58.6
North Texas,Mid-Major Avoid,55.0,30.0,81,64,177,81.4
Dayton,Mid-Major Avoid,52.0,77.0,24,71,88,62.4
Iowa St.,Power 5,41.0,25.0,6,12,3,17.4
Northwestern,Power 5,91.0,37.0,51,53,74,61.2
Penn St.,Power 5,88.0,41.0,85,62,140,83.2
Providence,Power 5,24.0,51.0,59,100,101,67.0
TCU,Power 5,33.0,27.0,46,78,54,47.6
West Virginia,Power 5,73.0,24.0,158,50,93,79.6
Rutgers,Power 5,80.0,40.0,102,74,196,98.4
Oklahoma St.,Power 5,45.0,42.0,126,92,76,76.2
San Francisco,Mid-Major Avoid,26.0,114.0,65,67,112,76.8
Nevada,Mid-Major Avoid,125.0,48.0,38,79,61,70.2
Virginia Tech,Power 5,22.0,75.0,58,170,57,76.4
Cincinnati,Power 5,96.0,63.0,39,49,95,68.4
LSU,Power 5,20.0,153.0,99,88,35,79.0
Washington St.,Mid-Major Avoid,54.0,79.0,41,112,156,88.4
UAB,Mid-Major Avoid,49.0,39.0,104,98,118,81.6
Ole Miss,Power 5,110.0,129.0,90,24,90,88.6
UCF,Power 5,99.0,66.0,66,68,39,67.6
Missouri,Power 5,151.0,47.0,157,22,94,94.2
Utah,Power 5,133.0,80.0,47,72,138,94.0
Kansas St.,Power 5,69.0,19.0,71,76,62,59.4
SMU,Power 5,53.0,209.0,68,48,28,81.2
Wake Forest,Power 5,42.0,89.0,40,69,71,62.2
